ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
94061,1,2020,Gas- Commercial,Y,0,0,NA
94061,2,2020,Gas- Commercial,Y,0,0,NA
94061,3,2020,Gas- Commercial,Y,0,0,NA
94062,1,2020,Gas- Commercial,Y,226,156200,691
94062,2,2020,Gas- Commercial,Y,227,129034,568
94062,3,2020,Gas- Commercial,Y,227,100137,441
94063,1,2020,Gas- Commercial,N,1046,752111,719
94063,2,2020,Gas- Commercial,N,1047,642857,614
94063,3,2020,Gas- Commercial,N,1039,578089,556
94065,1,2020,Gas- Commercial,Y,0,0,NA
94065,2,2020,Gas- Commercial,Y,0,0,NA
94065,3,2020,Gas- Commercial,Y,0,0,NA
94066,1,2020,Gas- Commercial,N,432,245743,569
94066,2,2020,Gas- Commercial,N,432,209973,486
94066,3,2020,Gas- Commercial,N,429,178760,417
94070,1,2020,Gas- Commercial,N,954,301004,316
94070,2,2020,Gas- Commercial,N,950,224104,236
94070,3,2020,Gas- Commercial,Y,3143,1494639,476
94080,1,2020,Gas- Commercial,N,1084,1472285,1358
94080,2,2020,Gas- Commercial,Y,1633,1554384,952
94080,3,2020,Gas- Commercial,Y,1629,1535475,943
94085,1,2020,Gas- Commercial,Y,0,0,NA
94085,2,2020,Gas- Commercial,Y,0,0,NA
94085,3,2020,Gas- Commercial,Y,0,0,NA
94086,1,2020,Gas- Commercial,N,372,311913,838
94086,2,2020,Gas- Commercial,N,369,241754,655
94086,3,2020,Gas- Commercial,Y,0,0,NA
94087,1,2020,Gas- Commercial,Y,0,0,NA
94087,2,2020,Gas- Commercial,Y,0,0,NA
94087,3,2020,Gas- Commercial,Y,0,0,NA
94089,1,2020,Gas- Commercial,Y,0,0,NA
94089,2,2020,Gas- Commercial,Y,0,0,NA
94089,3,2020,Gas- Commercial,Y,0,0,NA
94102,1,2020,Gas- Commercial,N,492,423906,862
94102,2,2020,Gas- Commercial,N,495,359516,726
94102,3,2020,Gas- Commercial,N,495,320964,648
94103,1,2020,Gas- Commercial,N,1156,586454,507
94103,2,2020,Gas- Commercial,N,1157,466698,403
94103,3,2020,Gas- Commercial,N,1153,458464,398
94104,1,2020,Gas- Commercial,Y,0,0,NA
94104,2,2020,Gas- Commercial,Y,0,0,NA
94104,3,2020,Gas- Commercial,Y,0,0,NA
94105,1,2020,Gas- Commercial,N,186,399798,2149
94105,2,2020,Gas- Commercial,N,189,305336,1616
94105,3,2020,Gas- Commercial,N,190,324278,1707
94107,1,2020,Gas- Commercial,Y,820,708290,864
94107,2,2020,Gas- Commercial,Y,810,539776,666
94107,3,2020,Gas- Commercial,Y,808,543200,672
94108,1,2020,Gas- Commercial,N,475,249928,526
94108,2,2020,Gas- Commercial,N,474,191134,403
94108,3,2020,Gas- Commercial,N,472,165309,350
94109,1,2020,Gas- Commercial,N,687,369528,538
94109,2,2020,Gas- Commercial,N,695,321014,462
94109,3,2020,Gas- Commercial,N,693,299319,432
94110,1,2020,Gas- Commercial,Y,2031,716143,353
94110,2,2020,Gas- Commercial,N,1094,294879,270
94110,3,2020,Gas- Commercial,N,1093,255406,234
94111,1,2020,Gas- Commercial,Y,324,558740,1725
94111,2,2020,Gas- Commercial,Y,326,427146,1310
94111,3,2020,Gas- Commercial,Y,324,406859,1256
94112,1,2020,Gas- Commercial,Y,722,273622,379
94112,2,2020,Gas- Commercial,Y,1171,629594,538
94112,3,2020,Gas- Commercial,Y,1171,569048,486
94114,1,2020,Gas- Commercial,Y,0,0,NA
94114,2,2020,Gas- Commercial,Y,941,278422,296
94114,3,2020,Gas- Commercial,Y,546,116865,214
94115,1,2020,Gas- Commercial,N,482,268892,558
94115,2,2020,Gas- Commercial,N,482,223833,464
94115,3,2020,Gas- Commercial,N,482,214733,446
94116,1,2020,Gas- Commercial,Y,0,0,NA
94116,2,2020,Gas- Commercial,Y,0,0,NA
94116,3,2020,Gas- Commercial,Y,0,0,NA
94117,1,2020,Gas- Commercial,Y,0,0,NA
94117,2,2020,Gas- Commercial,Y,0,0,NA
94117,3,2020,Gas- Commercial,N,394,115229,292
94118,1,2020,Gas- Commercial,Y,629,348429,554
94118,2,2020,Gas- Commercial,Y,631,290049,460
94118,3,2020,Gas- Commercial,Y,627,287908,459
94121,1,2020,Gas- Commercial,Y,0,0,NA
94121,2,2020,Gas- Commercial,Y,0,0,NA
94121,3,2020,Gas- Commercial,Y,0,0,NA
94122,1,2020,Gas- Commercial,Y,1169,362911,310
94122,2,2020,Gas- Commercial,Y,1171,314301,268
94122,3,2020,Gas- Commercial,Y,1171,281782,241
94123,1,2020,Gas- Commercial,N,497,151216,304
94123,2,2020,Gas- Commercial,N,498,132156,265
94123,3,2020,Gas- Commercial,N,498,104002,209
94124,1,2020,Gas- Commercial,Y,864,327559,379
94124,2,2020,Gas- Commercial,Y,867,254929,294
94124,3,2020,Gas- Commercial,Y,864,245982,285
94127,1,2020,Gas- Commercial,Y,0,0,NA
94127,2,2020,Gas- Commercial,Y,0,0,NA
94127,3,2020,Gas- Commercial,Y,0,0,NA
94128,1,2020,Gas- Commercial,Y,0,0,NA
94128,2,2020,Gas- Commercial,Y,0,0,NA
94128,3,2020,Gas- Commercial,Y,0,0,NA
94129,1,2020,Gas- Commercial,Y,0,0,NA
94129,2,2020,Gas- Commercial,Y,0,0,NA
94129,3,2020,Gas- Commercial,Y,0,0,NA
94131,1,2020,Gas- Commercial,Y,0,0,NA
94131,2,2020,Gas- Commercial,Y,0,0,NA
94131,3,2020,Gas- Commercial,Y,0,0,NA
