CUSTOMERCLASS,DATE,TOTALKBTU
Elec- Commercial,2017-03-01,37230626.28
Elec- Commercial,2017-01-01,7734120.976
Elec- Commercial,2017-02-01,6673868.786
Elec- Commercial,2017-03-01,7411930.87
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,28875759.216
Elec- Commercial,2017-03-01,31700712.564
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,10518759.322
Elec- Commercial,2017-03-01,11490089.77
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,17815466.768
Elec- Commercial,2017-03-01,19435758.464
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,26440363.596
Elec- Commercial,2017-03-01,17693959.344
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,3478640.164
Elec- Commercial,2017-02-01,2905222.022
Elec- Commercial,2017-03-01,2979948.208
Elec- Commercial,2017-01-01,15665898.888
Elec- Commercial,2017-02-01,12294784.248
Elec- Commercial,2017-03-01,14269867.442
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,425593.326
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,3026412.104
Elec- Commercial,2017-03-01,2647216.692
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,4133923.116
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,7520864.01
Elec- Commercial,2017-02-01,6548408.726
Elec- Commercial,2017-03-01,7343520.104
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,13813187.168
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,9329364.648
Elec- Commercial,2017-01-01,55431575.602
Elec- Commercial,2017-02-01,48719141.908
Elec- Commercial,2017-03-01,50252346.79
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,14827368.212
Elec- Commercial,2017-02-01,12906493.944
Elec- Commercial,2017-03-01,13652627.826
Elec- Commercial,2017-01-01,13668827.978
Elec- Commercial,2017-02-01,5722106.714
Elec- Commercial,2017-03-01,10324891.638
Elec- Commercial,2017-01-01,13028202.456
Elec- Commercial,2017-02-01,11518458.888
Elec- Commercial,2017-03-01,12360470.9
Elec- Commercial,2017-01-01,13464701.664
Elec- Commercial,2017-02-01,12300241.902
Elec- Commercial,2017-03-01,13341164.508
Elec- Commercial,2017-01-01,50150646.534
Elec- Commercial,2017-02-01,44387486.448
Elec- Commercial,2017-03-01,48903960.632
Elec- Commercial,2017-01-01,18758591.482
Elec- Commercial,2017-02-01,16686681.274
Elec- Commercial,2017-03-01,18001781.084
Elec- Commercial,2017-01-01,18866713.986
Elec- Commercial,2017-02-01,17067611.07
Elec- Commercial,2017-03-01,18682837.862
Elec- Commercial,2017-01-01,8124410.79
Elec- Commercial,2017-02-01,6991898.884
Elec- Commercial,2017-03-01,7457097.12
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,52114321.126
Elec- Commercial,2017-02-01,53962624.62
Elec- Commercial,2017-03-01,60810990.66
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,167204715.988
Elec- Commercial,2017-03-01,186986993.064
Elec- Commercial,2017-01-01,8926786.472
Elec- Commercial,2017-02-01,7992352.53
Elec- Commercial,2017-03-01,8627492.12
Elec- Commercial,2017-01-01,1596981.198
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,6522107.044
Elec- Commercial,2017-03-01,6834387.282
Elec- Commercial,2017-01-01,16501994.514
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,62428441.988
Elec- Commercial,2017-02-01,56786336.878
Elec- Commercial,2017-03-01,62021776.07
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,27550385.066
Elec- Commercial,2017-02-01,24724705.916
Elec- Commercial,2017-03-01,27367253.596
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,121647412.668
Elec- Commercial,2017-02-01,111636356.558
Elec- Commercial,2017-03-01,119087735.238
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,44782963.704
Elec- Commercial,2017-02-01,40149842.77
Elec- Commercial,2017-03-01,43265091.782
Elec- Commercial,2017-01-01,77132367.304
Elec- Commercial,2017-02-01,70588841.246
Elec- Commercial,2017-03-01,70950548.286
Elec- Commercial,2017-01-01,20632426.868
Elec- Commercial,2017-02-01,19083628.24
Elec- Commercial,2017-03-01,21363265.494
Elec- Commercial,2017-01-01,59367486.736
Elec- Commercial,2017-02-01,55125598.216
Elec- Commercial,2017-03-01,60739733.242
Elec- Commercial,2017-01-01,52642349.936
Elec- Commercial,2017-02-01,48140284.964
Elec- Commercial,2017-03-01,51906110.212
Elec- Commercial,2017-01-01,31082181.586
Elec- Commercial,2017-02-01,28297254.176
Elec- Commercial,2017-03-01,31089213.382
Elec- Commercial,2017-01-01,35341077.752
Elec- Commercial,2017-02-01,52816432.446
Elec- Commercial,2017-03-01,33823017.31
Elec- Commercial,2017-01-01,22985420.396
Elec- Commercial,2017-02-01,20776694.94
Elec- Commercial,2017-03-01,22792976.038
Elec- Commercial,2017-01-01,34748081.808
Elec- Commercial,2017-02-01,31282361.548
Elec- Commercial,2017-03-01,33369359.64
Elec- Commercial,2017-01-01,10688100.554
Elec- Commercial,2017-02-01,9729001.912
Elec- Commercial,2017-03-01,10678300.656
Elec- Commercial,2017-01-01,7512126.108
Elec- Commercial,2017-02-01,6787131.602
Elec- Commercial,2017-03-01,7449660.006
Elec- Commercial,2017-01-01,22670519.73
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,20865069.974
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,23483700.75
Elec- Commercial,2017-01-01,7955405.752
Elec- Commercial,2017-02-01,7120419.252
Elec- Commercial,2017-03-01,7431810.304
Elec- Commercial,2017-01-01,59718812.608
Elec- Commercial,2017-02-01,54559947.098
Elec- Commercial,2017-03-01,33826985.656
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,9337493.002
Elec- Commercial,2017-02-01,8269985.934
Elec- Commercial,2017-03-01,8989557.348
Elec- Commercial,2017-01-01,31242511.562
Elec- Commercial,2017-02-01,27685814.692
Elec- Commercial,2017-03-01,29532242.412
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,0
Elec- Commercial,2017-02-01,0
Elec- Commercial,2017-03-01,0
Elec- Commercial,2017-01-01,30092193.942
Elec- Commercial,2017-02-01,27020229.122
Elec- Commercial,2017-03-01,28828682.63
Elec- Commercial,2017-01-01,4715265.382
Elec- Commercial,2017-02-01,4304744.23
Elec- Commercial,2017-03-01,4708745.732
Elec- Commercial,2017-01-01,11982450.596
Elec- Commercial,2017-02-01,9492528.708
Elec- Commercial,2017-03-01,10512110.85
