ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
94954,7,2017,Elec- Industrial,Y,0,0,NA
94954,8,2017,Elec- Industrial,Y,0,0,NA
94954,9,2017,Elec- Industrial,Y,0,0,NA
94964,7,2017,Elec- Industrial,Y,0,0,NA
94964,8,2017,Elec- Industrial,Y,0,0,NA
94964,9,2017,Elec- Industrial,Y,0,0,NA
94973,7,2017,Elec- Industrial,Y,0,0,NA
94973,8,2017,Elec- Industrial,Y,0,0,NA
94973,9,2017,Elec- Industrial,Y,0,0,NA
95003,7,2017,Elec- Industrial,Y,0,0,NA
95003,8,2017,Elec- Industrial,Y,0,0,NA
95003,9,2017,Elec- Industrial,Y,0,0,NA
95004,7,2017,Elec- Industrial,Y,0,0,NA
95004,8,2017,Elec- Industrial,Y,0,0,NA
95004,9,2017,Elec- Industrial,Y,0,0,NA
95008,7,2017,Elec- Industrial,Y,0,0,NA
95008,8,2017,Elec- Industrial,Y,0,0,NA
95008,9,2017,Elec- Industrial,Y,0,0,NA
95012,7,2017,Elec- Industrial,Y,0,0,NA
95012,8,2017,Elec- Industrial,Y,0,0,NA
95012,9,2017,Elec- Industrial,Y,0,0,NA
95013,7,2017,Elec- Industrial,Y,0,0,NA
95013,8,2017,Elec- Industrial,Y,0,0,NA
95013,9,2017,Elec- Industrial,Y,0,0,NA
95014,7,2017,Elec- Industrial,Y,0,0,NA
95014,8,2017,Elec- Industrial,Y,0,0,NA
95014,9,2017,Elec- Industrial,Y,0,0,NA
95020,7,2017,Elec- Industrial,Y,0,0,NA
95020,8,2017,Elec- Industrial,Y,0,0,NA
95020,9,2017,Elec- Industrial,Y,0,0,NA
95023,7,2017,Elec- Industrial,Y,0,0,NA
95023,8,2017,Elec- Industrial,Y,0,0,NA
95023,9,2017,Elec- Industrial,Y,0,0,NA
95030,8,2017,Elec- Industrial,Y,0,0,NA
95030,9,2017,Elec- Industrial,Y,0,0,NA
95035,7,2017,Elec- Industrial,Y,0,0,NA
95035,8,2017,Elec- Industrial,Y,0,0,NA
95035,9,2017,Elec- Industrial,Y,0,0,NA
95037,7,2017,Elec- Industrial,Y,0,0,NA
95037,8,2017,Elec- Industrial,Y,0,0,NA
95037,9,2017,Elec- Industrial,Y,0,0,NA
95039,7,2017,Elec- Industrial,Y,0,0,NA
95039,8,2017,Elec- Industrial,Y,0,0,NA
95039,9,2017,Elec- Industrial,Y,0,0,NA
95060,7,2017,Elec- Industrial,Y,0,0,NA
95060,8,2017,Elec- Industrial,Y,0,0,NA
95060,9,2017,Elec- Industrial,Y,0,0,NA
95062,7,2017,Elec- Industrial,Y,0,0,NA
95062,8,2017,Elec- Industrial,Y,0,0,NA
95062,9,2017,Elec- Industrial,Y,0,0,NA
95065,7,2017,Elec- Industrial,Y,0,0,NA
95065,8,2017,Elec- Industrial,Y,0,0,NA
95065,9,2017,Elec- Industrial,Y,0,0,NA
95070,7,2017,Elec- Industrial,Y,0,0,NA
95070,8,2017,Elec- Industrial,Y,0,0,NA
95070,9,2017,Elec- Industrial,Y,0,0,NA
95076,7,2017,Elec- Industrial,Y,0,0,NA
95076,8,2017,Elec- Industrial,Y,0,0,NA
95076,9,2017,Elec- Industrial,Y,0,0,NA
95110,7,2017,Elec- Industrial,Y,0,0,NA
95110,8,2017,Elec- Industrial,Y,0,0,NA
95110,9,2017,Elec- Industrial,Y,0,0,NA
95111,7,2017,Elec- Industrial,Y,0,0,NA
95111,8,2017,Elec- Industrial,Y,0,0,NA
95111,9,2017,Elec- Industrial,Y,0,0,NA
95112,7,2017,Elec- Industrial,Y,0,0,NA
95112,8,2017,Elec- Industrial,Y,0,0,NA
95112,9,2017,Elec- Industrial,Y,0,0,NA
95113,7,2017,Elec- Industrial,Y,0,0,NA
95113,8,2017,Elec- Industrial,Y,0,0,NA
95113,9,2017,Elec- Industrial,Y,0,0,NA
95116,7,2017,Elec- Industrial,Y,0,0,NA
95116,8,2017,Elec- Industrial,Y,0,0,NA
95116,9,2017,Elec- Industrial,Y,0,0,NA
95119,7,2017,Elec- Industrial,Y,0,0,NA
95119,8,2017,Elec- Industrial,Y,0,0,NA
95119,9,2017,Elec- Industrial,Y,0,0,NA
95120,7,2017,Elec- Industrial,Y,0,0,NA
95120,8,2017,Elec- Industrial,Y,0,0,NA
95120,9,2017,Elec- Industrial,Y,0,0,NA
95123,7,2017,Elec- Industrial,Y,0,0,NA
95123,8,2017,Elec- Industrial,Y,0,0,NA
95123,9,2017,Elec- Industrial,Y,0,0,NA
